500 3
 36.1     -75.1    -70.7   
 5.07     -74.7    -70.4   
 -24.6    -74.4    -70     
 -45.3    -74      -69.6   
 -64.9    -73.7    -69.2   
 -74.9    -73.3    -68.9   
 -76.4    -72.9    -68.5   
 -76.6    -72.5    -68.1   
 -76.6    -72.1    -67.7   
 -76.5    -71.8    -67.2   
 -76.3    -71.4    -66.8   
 -76.2    -71      -66.3   
 -75.9    -70.6    -65.8   
 -75.7    -70.2    -65.2   
 -75.4    -69.8    -64.5   
 -75.1    -69.4    -63.6   
 -74.8    -69      -62.4   
 -74.4    -68.6    -60.6   
 -74.1    -68.2    -57.1   
 -73.7    -67.8    -46.7   
 -73.3    -67.3    5.77    
 -72.9    -66.9    40.8    
 -72.6    -66.4    13.2    
 -72.2    -65.8    -18.7   
 -71.8    -65.2    -41.3   
 -71.4    -64.5    -60.6   
 -71      -63.6    -74.2   
 -70.6    -62.4    -76.3   
 -70.2    -60.5    -76.6   
 -69.8    -56.7    -76.6   
 -69.4    -45.2    -76.5   
 -69      12.5     -76.4   
 -68.6    39.9     -76.2   
 -68.2    11.2     -76     
 -67.8    -20.1    -75.7   
 -67.4    -42.2    -75.4   
 -66.9    -61.6    -75.1   
 -66.4    -74.4    -74.8   
 -65.9    -76.3    -74.5   
 -65.3    -76.6    -74.1   
 -64.6    -76.6    -73.8   
 -63.7    -76.5    -73.4   
 -62.5    -76.4    -73     
 -60.7    -76.2    -72.6   
 -57.2    -76      -72.3   
 -46.8    -75.7    -71.9   
 5.56     -75.4    -71.5   
 41       -75.1    -71.1   
 13.5     -74.8    -70.7   
 -18.5    -74.5    -70.3   
 -41.2    -74.1    -69.9   
 -60.4    -73.8    -69.5   
 -74.1    -73.4    -69.1   
 -76.3    -73      -68.7   
 -76.6    -72.6    -68.3   
 -76.6    -72.2    -67.9   
 -76.5    -71.9    -67.5   
 -76.4    -71.5    -67     
 -76.2    -71.1    -66.5   
 -76      -70.7    -66     
 -75.7    -70.3    -65.4   
 -75.5    -69.9    -64.7   
 -75.1    -69.5    -63.9   
 -74.8    -69.1    -62.8   
 -74.5    -68.7    -61.1   
 -74.1    -68.3    -58.1   
 -73.8    -67.9    -50.2   
 -73.4    -67.4    -11.5   
 -73      -67      42.2    
 -72.6    -66.5    19.8    
 -72.3    -66      -13.6   
 -71.9    -65.4    -38     
 -71.5    -64.7    -57.1   
 -71.1    -63.8    -73.2   
 -70.7    -62.7    -76.1   
 -70.3    -61      -76.6   
 -69.9    -57.9    -76.6   
 -69.5    -49.6    -76.5   
 -69.1    -8.27    -76.4   
 -68.7    42.1     -76.2   
 -68.3    18.4     -76     
 -67.9    -14.7    -75.8   
 -67.5    -38.7    -75.5   
 -67      -57.8    -75.2   
 -66.5    -73.4    -74.9   
 -66      -76.2    -74.5   
 -65.4    -76.6    -74.2   
 -64.7    -76.6    -73.8   
 -63.9    -76.5    -73.5   
 -62.8    -76.4    -73.1   
 -61.2    -76.2    -72.7   
 -58.2    -76      -72.3   
 -50.3    -75.8    -71.9   
 -12.3    -75.5    -71.5   
 42.2     -75.2    -71.2   
 20.1     -74.9    -70.8   
 -13.3    -74.5    -70.4   
 -37.8    -74.2    -70     
 -56.9    -73.8    -69.6   
 -73.1    -73.4    -69.2   
 -76.1    -73.1    -68.8   
 -76.6    -72.7    -68.4   
 -76.6    -72.3    -68     
 -76.5    -71.9    -67.5   
 -76.4    -71.5    -67.1   
 -76.2    -71.1    -66.6   
 -76      -70.7    -66.1   
 -75.8    -70.4    -65.5   
 -75.5    -70      -64.8   
 -75.2    -69.6    -64     
 -74.9    -69.2    -63     
 -74.5    -68.8    -61.4   
 -74.2    -68.4    -58.8   
 -73.8    -67.9    -52.2   
 -73.5    -67.5    -22.8   
 -73.1    -67.1    41.3    
 -72.7    -66.6    25.3    
 -72.3    -66.1    -8.32   
 -71.9    -65.5    -34.4   
 -71.5    -64.8    -53.5   
 -71.2    -64      -71.6   
 -70.8    -62.9    -75.9   
 -70.4    -61.4    -76.6   
 -70      -58.6    -76.6   
 -69.6    -51.8    -76.6   
 -69.2    -20.5    -76.4   
 -68.8    41.6     -76.3   
 -68.4    24.1     -76.1   
 -68      -9.63    -75.8   
 -67.5    -35.3    -75.5   
 -67.1    -54.4    -75.3   
 -66.6    -72      -74.9   
 -66.1    -76      -74.6   
 -65.5    -76.6    -74.3   
 -64.8    -76.6    -73.9   
 -64      -76.6    -73.5   
 -63      -76.4    -73.1   
 -61.5    -76.3    -72.8   
 -58.8    -76      -72.4   
 -52.3    -75.8    -72     
 -23.4    -75.5    -71.6   
 41.1     -75.2    -71.2   
 25.7     -74.9    -70.8   
 -7.96    -74.6    -70.4   
 -34.2    -74.2    -70.1   
 -53.3    -73.9    -69.7   
 -71.4    -73.5    -69.3   
 -75.9    -73.1    -68.9   
 -76.6    -72.7    -68.5   
 -76.6    -72.4    -68     
 -76.6    -72      -67.6   
 -76.4    -71.6    -67.2   
 -76.3    -71.2    -66.7   
 -76.1    -70.8    -66.2   
 -75.8    -70.4    -65.6   
 -75.6    -70      -65     
 -75.3    -69.6    -64.2   
 -74.9    -69.2    -63.2   
 -74.6    -68.8    -61.8   
 -74.3    -68.4    -59.4   
 -73.9    -68      -54     
 -73.5    -67.6    -32.7   
 -73.2    -67.1    37.1    
 -72.8    -66.7    31.4    
 -72.4    -66.1    -1.27   
 -72      -65.6    -29.3   
 -71.6    -64.9    -49     
 -71.2    -64.2    -68.4   
 -70.8    -63.1    -75.4   
 -70.5    -61.7    -76.5   
 -70.1    -59.3    -76.6   
 -69.7    -53.6    -76.6   
 -69.3    -30.5    -76.5   
 -68.9    38.5     -76.3   
 -68.5    30       -76.1   
 -68      -3.04    -75.9   
 -67.6    -30.6    -75.6   
 -67.2    -50.1    -75.3   
 -66.7    -69.3    -75     
 -66.2    -75.6    -74.7   
 -65.6    -76.5    -74.3   
 -65      -76.6    -74     
 -64.2    -76.6    -73.6   
 -63.2    -76.5    -73.2   
 -61.8    -76.3    -72.9   
 -59.5    -76.1    -72.5   
 -54.1    -75.9    -72.1   
 -33.3    -75.6    -71.7   
